quote_unixtime,quote_readtime,quote_date,quote_time_hours,underlying_last,expire_date,expire_unixtime,dte,option_type,strike,bid,ask,last,iv,volume,delta,gamma,vega,theta,rho,strike_distance,strike_distance_pct
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,call,3500,352.5,356.0,305.36,0.78696,3.0,0.9478,0.00019,0.25136,-0.86006,0.03188,353.4,0.092
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,call,3510,342.5,346.0,0.0,0.76445,0.0,0.94849,0.00013,0.25093,-0.86032,0.03212,343.4,0.089
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3550,0.05,0.1,0.05,0.42057,918.0,-0.00211,1e-05,0.01896,-0.0749,-1e-05,303.4,0.079
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3560,0.05,0.1,0.07,0.40672,24.0,-0.00235,7e-05,0.01989,-0.0746,-0.00063,293.4,0.076
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3570,0.05,0.1,0.05,0.39404,13.0,-0.00252,3e-05,0.01993,-0.07542,-0.00018,283.4,0.074
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3575,0.05,0.1,0.15,0.3877,18.0,-0.00261,3e-05,0.02032,-0.07454,-8e-05,278.4,0.072
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3580,0.05,0.1,0.6,0.38082,1.0,-0.00245,0.0001,0.02077,-0.075,-0.00067,273.4,0.071
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3585,0.05,0.1,0.07,0.37422,1.0,-0.0024,8e-05,0.02085,-0.07452,-0.00073,268.4,0.07
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3590,0.05,0.1,0.05,0.36762,476.0,-0.00304,5e-05,0.02089,-0.07522,-0.00075,263.4,0.068
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3595,0.05,0.1,0.22,0.36138,2.0,-0.00298,0.0001,0.02182,-0.07519,-0.00073,258.4,0.067
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3600,0.05,0.1,0.1,0.35384,2.0,-0.00237,8e-05,0.02219,-0.07522,-0.00055,253.4,0.066
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3605,0.05,0.1,0.65,0.34808,11.0,-0.00223,6e-05,0.02228,-0.07535,-4e-05,248.4,0.064
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3610,0.05,0.1,0.05,0.34079,14.0,-0.00307,9e-05,0.0224,-0.07518,-0.00085,243.4,0.063
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3615,0.05,0.1,0.05,0.33505,6.0,-0.00309,9e-05,0.02328,-0.07536,-0.00086,238.4,0.062
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3620,0.05,0.1,0.07,0.3276,5.0,-0.00314,6e-05,0.02339,-0.07474,-0.00057,233.4,0.061
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3625,0.05,0.1,0.07,0.32091,102.0,-0.00292,7e-05,0.02381,-0.0755,-0.00044,228.4,0.059
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3630,0.05,0.1,0.07,0.31517,25.0,-0.00269,0.00013,0.02413,-0.07568,-0.00011,223.4,0.058
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3635,0.05,0.1,0.1,0.30762,42.0,-0.00332,6e-05,0.0243,-0.07519,-0.00062,218.4,0.057
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,call,3640,213.6,215.5,208.49,0.49309,45.0,0.94891,0.00052,0.26077,-1.15966,0.05262,213.4,0.055
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3640,0.05,0.1,0.07,0.30146,1.0,-0.00325,0.00013,0.02468,-0.07464,-0.00083,213.4,0.055
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,call,3645,208.6,210.5,0.0,0.48216,0.0,0.94787,0.00051,0.26144,-1.1598,0.05343,208.4,0.054
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3645,0.05,0.1,0.1,0.29519,5.0,-0.00265,0.00017,0.02594,-0.07526,-0.00084,208.4,0.054
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,call,3650,203.7,205.6,174.5,0.47499,4.0,0.9473,0.00059,0.26767,-1.26023,0.05664,203.4,0.053
1672866000,2023-01-04 16:00,2023-01-04,16,3853.39,2023-01-05,1672952400,1.0,put,3650,0.05,0.1,0.05,0.2881,2084.0,-0.00361,0.00013,0.02605,-0.07488,-0.00038,203.4,0.053
