quote_unixtime,quote_readtime,quote_date,quote_time_hours,underlying_last,expire_date,expire_unixtime,dte,option_type,strike,bid,ask,last,iv,volume,delta,gamma,vega,theta,rho,strike_distance,strike_distance_pct
1688155200,2023-06-30 16:00,2023-06-30,16,4450.23,2023-07-03,1688414400,3.0,put,3700,0.05,0.1,0.05,0.59189,917.0,-0.00069,1e-05,0.01492,-0.06613,-0.00011,750.2,0.169
1688155200,2023-06-30 16:00,2023-06-30,16,4450.23,2023-07-03,1688414400,3.0,call,3750,699.5,702.8,0.0,0.99465,0.0,0.94829,0.00012,0.39869,-0.91984,0.05575,700.2,0.157
1688155200,2023-06-30 16:00,2023-06-30,16,4450.23,2023-07-03,1688414400,3.0,put,3750,0.05,0.1,0.05,0.55124,387.0,-0.00062,-2e-05,0.01627,-0.06637,-0.00086,700.2,0.157
1688155200,2023-06-30 16:00,2023-06-30,16,4450.23,2023-07-03,1688414400,3.0,call,3800,649.5,652.8,483.64,0.91734,1.0,0.95019,0.00017,0.38815,-0.92012,0.05852,650.2,0.146
1688155200,2023-06-30 16:00,2023-06-30,16,4450.23,2023-07-03,1688414400,3.0,put,3800,0.05,0.1,0.05,0.51189,2566.0,-0.00114,7e-05,0.01733,-0.06593,-0.00016,650.2,0.146
1688155200,2023-06-30 16:00,2023-06-30,16,4450.23,2023-07-03,1688414400,3.0,call,3825,624.5,627.8,0.0,0.87966,0.0,0.95101,0.00015,0.38309,-0.92026,0.06036,625.2,0.14
1688155200,2023-06-30 16:00,2023-06-30,16,4450.23,2023-07-03,1688414400,3.0,put,3825,0.05,0.1,0.05,0.49225,273.0,-0.00083,4e-05,0.01789,-0.06568,-0.00088,625.2,0.14
1688155200,2023-06-30 16:00,2023-06-30,16,4450.23,2023-07-03,1688414400,3.0,call,3850,599.6,603.7,303.81,0.85532,1.0,0.95046,0.00017,0.39566,-1.42018,0.07262,600.2,0.135
1688155200,2023-06-30 16:00,2023-06-30,16,4450.23,2023-07-03,1688414400,3.0,put,3850,0.05,0.1,0.07,0.47227,799.0,-0.00165,6e-05,0.01899,-0.06631,-0.00065,600.2,0.135
1688155200,2023-06-30 16:00,2023-06-30,16,4450.23,2023-07-03,1688414400,3.0,call,3870,579.6,583.7,0.0,0.82698,0.0,0.95034,0.00021,0.39187,-1.41975,0.07417,580.2,0.13
1688155200,2023-06-30 16:00,2023-06-30,16,4450.23,2023-07-03,1688414400,3.0,put,3870,0.05,0.1,0.05,0.45671,12.0,-0.0011,2e-05,0.01913,-0.06627,-0.00068,580.2,0.13
