[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.40039,0.07663,,,0.0,100 x 100,610.4,615.8,3825.0,0.0,0.05,0 x 1246,0.0,-0.00052,3e-05,0.00301,-0.02543,-0.00022,1.01391,,613.1,0.138
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.40328,0.07677,,,0.0,10 x 8,576.0,599.8,3850.0,0.0,0.05,0 x 2530,0.1,-0.00059,5e-05,0.0033,-0.02519,0.0,0.97217,275.0,588.1,0.133
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.40606,0.07697,,,0.0,100 x 100,560.4,565.8,3875.0,0.0,0.05,0 x 1640,0.0,-0.00059,3e-05,0.0038,-0.02583,0.0,0.93196,,563.1,0.127
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.40897,0.07737,,,0.0,100 x 100,535.4,540.8,3900.0,0.0,0.05,0 x 2195,0.55,-0.00059,-3e-05,0.00371,-0.02554,-0.00022,0.88987,82.0,538.1,0.121
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.41115,0.07873,,,0.0,100 x 100,510.4,515.8,3925.0,0.0,0.05,0 x 3739,0.0,-9e-05,-4e-05,0.0037,-0.02501,0.0,0.84923,2215.0,513.1,0.116
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.41444,0.0792,,1.0,488.05,100 x 100,485.4,490.8,3950.0,0.0,0.05,0 x 2215,0.05,-0.00095,3e-05,0.00359,-0.02541,-0.00013,0.80792,1283.0,488.1,0.11
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.41649,0.07976,,,0.0,100 x 100,460.4,465.8,3975.0,0.0,0.05,0 x 2092,0.05,-0.00082,5e-05,0.00391,-0.02541,-0.0002,0.76825,5041.0,463.1,0.104
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,0.97374,0.00029,0.12095,-2.89008,0.07704,1.21956,,0.0,1 x 1,440.1,441.9,4000.0,0.0,0.05,0 x 2436,0.05,-0.00056,5e-05,0.00455,-0.02508,-0.00024,0.72741,172.0,438.1,0.099
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.42203,0.08067,,,0.0,100 x 100,410.4,415.8,4025.0,0.0,0.05,0 x 1418,0.05,-0.0004,1e-05,0.0046,-0.02489,-0.00052,0.68727,2.0,413.1,0.093
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.42455,0.08123,,,0.0,100 x 100,385.4,390.8,4050.0,0.0,0.05,0 x 1662,0.07,-0.00076,-1e-05,0.00447,-0.02464,-0.00043,0.64645,7.0,388.1,0.087
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.42702,0.08149,,,0.0,100 x 100,360.4,365.8,4075.0,0.0,0.05,0 x 1641,0.2,-0.00068,1e-05,0.0048,-0.02462,-0.00013,0.60585,174.0,363.1,0.082
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.42984,0.08185,,10.0,458.71,10 x 18,325.9,349.8,4100.0,0.0,0.05,0 x 3541,0.1,-0.00035,0.0,0.00517,-0.0254,-0.00029,0.56552,7.0,338.1,0.076
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.43065,0.08172,,,0.0,100 x 100,325.4,330.8,4110.0,0.0,0.05,0 x 994,0.0,-0.00131,5e-05,0.00603,-0.02517,0.0,0.54941,,328.1,0.074
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.43214,0.082,,,0.0,100 x 100,315.4,320.8,4120.0,0.0,0.05,0 x 994,0.0,-0.00069,3e-05,0.00549,-0.02515,-0.00016,0.53381,,318.1,0.072
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,0.96962,0.00043,0.13464,-2.49036,0.0796,0.88068,3.0,312.02,1 x 1,314.7,316.5,4125.0,0.0,0.05,0 x 1865,0.25,-0.00115,6e-05,0.00586,-0.02537,-4e-05,0.52558,3.0,313.1,0.071
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.43295,0.08227,,,0.0,100 x 100,305.4,310.8,4130.0,0.0,0.05,0 x 1106,0.1,-0.00115,4e-05,0.00637,-0.02496,0.0,0.51832,1.0,308.1,0.069
