quote_unixtime,quote_readtime,quote_date,quote_time_hours,underlying_last,expire_date,expire_unixtime,dte,option_type,strike,bid,ask,last,iv,volume,delta,gamma,vega,theta,rho,strike_distance,strike_distance_pct
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,3900,0.05,0.1,0.05,0.6299,1226.0,-0.0018,-1e-05,0.01423,-0.07503,0.0,538.1,0.121
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,3950,0.05,0.1,0.05,0.57268,1916.0,-0.00158,-1e-05,0.01463,-0.07455,-0.00043,488.1,0.11
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4000,440.2,441.2,465.0,0.89887,1.0,0.94189,0.00024,0.32509,-2.59027,0.05322,438.1,0.099
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4000,0.05,0.1,0.07,0.51495,9.0,-0.00133,-2e-05,0.01679,-0.07498,-9e-05,438.1,0.099
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4050,390.2,391.3,0.0,0.80086,0.0,0.94133,0.00021,0.3293,-2.63968,0.05926,388.1,0.087
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4050,0.05,0.1,0.1,0.45841,10.0,-0.00179,2e-05,0.01767,-0.07462,0.0,388.1,0.087
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4075,365.2,366.3,0.0,0.7518,0.0,0.94185,0.00032,0.33232,-2.63976,0.06268,363.1,0.082
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4075,0.05,0.1,0.1,0.43046,166.0,-0.00191,4e-05,0.01905,-0.07451,-0.00014,363.1,0.082
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4100,340.2,341.3,457.89,0.70362,9.0,0.94149,0.00027,0.33604,-2.64066,0.06619,338.1,0.076
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4100,0.05,0.1,0.1,0.40225,374.0,-0.00181,5e-05,0.02018,-0.07514,-0.00048,338.1,0.076
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4125,315.2,316.3,312.17,0.6559,3.0,0.93994,0.00042,0.34052,-2.63988,0.06933,313.1,0.071
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4125,0.05,0.1,0.1,0.37433,203.0,-0.00211,1e-05,0.02195,-0.07483,0.0,313.1,0.071
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4150,290.2,291.6,0.0,0.61237,0.0,0.9389,0.00043,0.35151,-2.78964,0.07547,288.1,0.065
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4150,0.05,0.15,0.12,0.35517,12.0,-0.00331,6e-05,0.02819,-0.09976,-0.00089,288.1,0.065
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4160,280.2,281.6,0.0,0.59375,0.0,0.93779,0.00051,0.35415,-2.78987,0.07741,278.1,0.063
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4160,0.1,0.15,0.12,0.35154,104.0,-0.00353,6e-05,0.03429,-0.12465,-0.00125,278.1,0.063
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4170,270.3,271.6,0.0,0.57571,0.0,0.93676,0.00054,0.35908,-2.84027,0.07921,268.1,0.06
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4170,0.1,0.15,0.35,0.33964,69.0,-0.00398,0.00012,0.03523,-0.12453,-0.00109,268.1,0.06
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4175,265.3,266.6,0.0,0.56681,0.0,0.9366,0.00049,0.36152,-2.84016,0.08051,263.1,0.059
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4175,0.1,0.15,0.15,0.33439,1000.0,-0.00435,0.00014,0.03634,-0.1247,-0.00097,263.1,0.059
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4180,260.3,261.6,0.0,0.55779,0.0,0.93658,0.00057,0.36367,-2.83952,0.08089,258.1,0.058
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4180,0.1,0.15,0.15,0.32795,4.0,-0.00408,0.00014,0.03673,-0.12449,-0.00093,258.1,0.058
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4190,246.6,250.6,0.0,0.46368,0.0,0.95411,0.00028,0.26789,-0.49051,0.03869,248.1,0.056
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4190,0.1,0.15,0.12,0.31648,60.0,-0.00458,0.00017,0.03783,-0.12497,-0.0008,248.1,0.056
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4200,236.6,240.7,0.0,0.44721,0.0,0.95339,0.00026,0.26895,-0.54033,0.04144,238.1,0.054
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4200,0.1,0.15,0.12,0.30398,43.0,-0.00458,0.00012,0.03895,-0.12437,-0.0005,238.1,0.054
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4210,226.6,230.7,0.0,0.42928,0.0,0.95375,0.00031,0.2683,-0.54,0.04298,228.1,0.051
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4210,0.1,0.2,0.12,0.29817,3.0,-0.00505,0.00019,0.0457,-0.14998,-0.00081,228.1,0.051
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4220,216.6,220.7,0.0,0.41172,0.0,0.95415,0.00038,0.26711,-0.53976,0.04365,218.1,0.049
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4220,0.1,0.2,0.15,0.28662,1.0,-0.00539,0.00016,0.0475,-0.14927,-0.00155,218.1,0.049
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4225,211.6,215.7,0.0,0.40249,0.0,0.95444,0.00037,0.26672,-0.54039,0.04486,213.1,0.048
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4225,0.1,0.2,0.2,0.28029,49.0,-0.00538,0.00014,0.04861,-0.14975,-0.00088,213.1,0.048
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4230,206.6,210.7,284.65,0.39309,2.0,0.95487,0.00041,0.26607,-0.54029,0.04525,208.1,0.047
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4230,0.1,0.2,0.3,0.27479,20.0,-0.00579,0.00024,0.04944,-0.14975,-0.00098,208.1,0.047
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4240,196.6,200.7,0.0,0.3749,0.0,0.95455,0.00045,0.26544,-0.5401,0.04708,198.1,0.045
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4240,0.1,0.2,0.15,0.26259,6.0,-0.00612,0.00023,0.0513,-0.14983,-0.00112,198.1,0.045
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4245,191.6,195.7,0.0,0.36686,0.0,0.95527,0.00049,0.26505,-0.53996,0.04774,193.1,0.044
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4245,0.15,0.2,0.2,0.26096,2.0,-0.00645,0.0002,0.05807,-0.17393,-0.00184,193.1,0.044
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4250,190.3,191.4,252.05,0.42451,1.0,0.92958,0.00086,0.39856,-2.73994,0.09384,188.1,0.042
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4250,0.1,0.2,0.15,0.24997,289.0,-0.00563,0.00027,0.05342,-0.14985,-0.00102,188.1,0.042
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4255,185.3,186.4,247.15,0.41441,1.0,0.92886,0.00099,0.40189,-2.74014,0.09545,183.1,0.041
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4255,0.1,0.2,0.45,0.24377,76.0,-0.00608,0.00024,0.05408,-0.14921,-0.00104,183.1,0.041
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4260,180.3,181.4,0.0,0.40583,0.0,0.92805,0.00103,0.40599,-2.7403,0.09671,178.1,0.04
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,put,4260,0.1,0.2,0.2,0.23798,6.0,-0.00649,0.00024,0.05492,-0.14967,-0.00169,178.1,0.04
1692129600,2023-08-15 16:00,2023-08-15,16,4438.11,2023-08-16,1692216000,1.0,call,4265,175.3,176.4,0.0,0.39591,0.0,0.92747,0.00106,0.41069,-2.74027,0.09795,173.1,0.039
